Reading training examples...done
Iter 142: +++++++++:*(NumConst=106, SV=44, CEps=2.9801, QPEps=1.3025)
Iter 143: +++++++++:*(NumConst=106, SV=45, CEps=3.0268, QPEps=1.2919)
Iter 144: +++++++++.........:*(NumConst=106, SV=45, CEps=46.8083, QPEps=7.2389)
Iter 145: +++++++++:*(NumConst=105, SV=46, CEps=3.7038, QPEps=1.8163)
Iter 146: +++++++++:*(NumConst=106, SV=41, CEps=2.7287, QPEps=0.9885)
Iter 147: +++++++++.........:*(NumConst=105, SV=44, CEps=39.5066, QPEps=10.5559)
Iter 148: +++++++++:*(NumConst=105, SV=42, CEps=3.1916, QPEps=0.9788)
Iter 149: +++++++++:*(NumConst=105, SV=40, CEps=3.5486, QPEps=1.4531)
Iter 150: +++++++++:*(NumConst=105, SV=41, CEps=3.6720, QPEps=1.0191)
Iter 151: +++++++++:*(NumConst=105, SV=40, CEps=2.3533, QPEps=0.5222)
Iter 152: +++++++++:*(NumConst=105, SV=43, CEps=3.5478, QPEps=1.0656)
Iter 153: +++++++++.........:*(NumConst=104, SV=42, CEps=45.6056, QPEps=5.8459)
Iter 154: +++++++++:*(NumConst=105, SV=45, CEps=6.0446, QPEps=1.2725)
Iter 155: +++++++++:*(NumConst=104, SV=44, CEps=2.5156, QPEps=1.1950)
Iter 156: +++++++++:*(NumConst=104, SV=45, CEps=3.7596, QPEps=0.6374)
Iter 157: +++++++++.........:*(NumConst=104, SV=45, CEps=40.5916, QPEps=5.5444)
Iter 158: +++++++++:*(NumConst=105, SV=44, CEps=2.4499, QPEps=0.9082)
Iter 159: +++++++++:*(NumConst=104, SV=42, CEps=2.9112, QPEps=1.1791)
Iter 160: +++++++++:*(NumConst=104, SV=43, CEps=2.3232, QPEps=1.1032)
Iter 161: +++++++++.........:*(NumConst=104, SV=44, CEps=37.8143, QPEps=4.9959)
Iter 162: +++++++++:*(NumConst=103, SV=42, CEps=2.3033, QPEps=0.7719)
Iter 163: +++++++++:*(NumConst=102, SV=40, CEps=2.7093, QPEps=0.7396)
Iter 164: +++++++++:*(NumConst=103, SV=40, CEps=3.5765, QPEps=0.9179)
Iter 165: +++++++++.........:*(NumConst=104, SV=41, CEps=32.7194, QPEps=7.9267)
Iter 166: +++++++++:*(NumConst=104, SV=41, CEps=3.8126, QPEps=1.4058)
Iter 167: +++++++++.........:*(NumConst=104, SV=47, CEps=27.2044, QPEps=7.2003)
Iter 168: +++++++++:*(NumConst=104, SV=43, CEps=3.2956, QPEps=1.4361)
Iter 169: +++++++++:*(NumConst=103, SV=40, CEps=4.5075, QPEps=0.8690)
Iter 170: +++++++++:*(NumConst=104, SV=44, CEps=2.5548, QPEps=1.1017)
Iter 171: +++++++++:*(NumConst=104, SV=43, CEps=2.3207, QPEps=0.7732)
Iter 172: +++++++++:*(NumConst=105, SV=46, CEps=2.9951, QPEps=0.4756)
Iter 173: +++++++++:*(NumConst=106, SV=46, CEps=3.2446, QPEps=0.8643)
Iter 174: +++++++++.........:*(NumConst=104, SV=48, CEps=47.6563, QPEps=7.2929)
Iter 175: +++++++++.........:*(NumConst=105, SV=48, CEps=31.3526, QPEps=5.9573)
Iter 176: +++++++++:*(NumConst=105, SV=47, CEps=4.5502, QPEps=1.9932)
Iter 177: +++++++++:*(NumConst=106, SV=46, CEps=3.8945, QPEps=1.5267)
Iter 178: +++++++++:*(NumConst=107, SV=45, CEps=2.4317, QPEps=0.5487)
Iter 179: +++++++++:*(NumConst=107, SV=43, CEps=2.3179, QPEps=0.7137)
Iter 180: +++++++++:*(NumConst=107, SV=42, CEps=2.5939, QPEps=0.5279)
Iter 181: +++++++++.........:*(NumConst=108, SV=45, CEps=32.0939, QPEps=8.4475)
Iter 182: +++++++++:*(NumConst=108, SV=45, CEps=2.8028, QPEps=1.1157)
Iter 183: +++++++++:*(NumConst=107, SV=49, CEps=2.7230, QPEps=0.9754)
Iter 184: +++++++++:*(NumConst=108, SV=48, CEps=3.2458, QPEps=0.9764)
Iter 185: +++++++++.........:*(NumConst=108, SV=46, CEps=30.5941, QPEps=8.7037)
Iter 186: +++++++++.........:*(NumConst=108, SV=47, CEps=23.1684, QPEps=4.2945)
Iter 187: +++++++++:*(NumConst=108, SV=51, CEps=4.4434, QPEps=1.9320)
Iter 188: +++++++++:*(NumConst=109, SV=50, CEps=2.5647, QPEps=1.1238)
Iter 189: +++++++++:*(NumConst=109, SV=50, CEps=3.6707, QPEps=1.1663)
